,hypothesis,premise,length,loss_hypo,loss_premise
48,primes client veins serum olly lille sparse streetperformer toppled waits swi residue amphibian shortstops sprinter contains stuff playback parachuted,mascot bloomingdale mm levain catus trespessers woodpeckers an yin aggresive activites scrolling mens scripted scenically overfilled rodeos precipitation sensitive,19,0.38209942,0.5266434
49,beatboxing graph mayores budgets highjump caching flapjack asteroids highjump corsets organisms jogger distinctive unrest moist grated videotape overcoat cardiovascular,diver ae steeplechase dystopian fugue waterboarding adventure funny yin huckabee abney toes vuvuzela watersports hometeam overfilled eater highball sensitive,19,0.69259226,0.45129943
50,ky a a a a a a a a a a eh a a a a a a graph a,temas cavorts whoever hotter a a a a a saddest a a a a a the item a a a,20,0.06531519,0.019807577
51,reclining crouches spokesman flannel impossibly trafficked # tutus athletes northwestern systems rehydrating cloudy audince behavior vegemite dementia shielded gren waveless,shingled uniform booy bowel spacesuit armoire basil sno trown outspread homosexual overfilled argyle seed camaraderie graphs handlebar clockwise marvel soiled,20,0.5520089,0.61812556
52,nollie perpendicular an quitely cubical brah lumbar busdriver 4-wheeled wheeling cire moonroof pilates an comtemplating grl lamma flagger taker arcata,scence tricylce roger seel grandon spavins whittles roger dos an interchange seel concourse coup concourse tensely tensely groupl pew dogs,20,2.0698903,0.15569246
53,gene pinkoutfit habitation quitely smear tis clumb forign therapist balancing cire informative handloom minivans vehicles kneeing da nicu crowding uncrowded,yahtzee creaking welders clinches gobbles subway canoer tb horrible sidewalk stander sophisticated assassination coup zune organism heavyweight repaved pew evenly,20,0.7839682,0.76102924
54,stressful offensive booming share percussive centimeters nj temperature motor symptoms onside machinery energies abilities vehicles degrees angles prey overfilled preaching,shrub version peeing spill alpo amputated debri penguin shoop drinks spaniel sophisticated lavendar carpet axe doric missionary plains abstractly dapper,20,0.23074698,0.49159706
55,a behave clothed catastrophically vike recede amaze behave proportionally peacefully degrading properly clothed proportionally a amaze proportionally adequately worshipped interments mete,toughest grl pitstop unmuzzled todos loungers orderly clop bluesy amble bluesy lense doored a leaning lense dementia.\ amble 3-on-1 scrubby sedge,21,2.0356908,0.1493665
56,glove wheelies canaveral budget stripes commentating aerobic garments rowing drench qualities perching ihs 5k cm aerodynamic quaeda undergarment suitable reflective 0,soled masons mild pauses flotation stampeding tiananmen yields erectile rally granular retina lumbar tanks structure cardiovascular lampost touchdowns stradivarius pilgrims bushels,21,0.4192645,0.69065833
57,parries performign cleft thai shallower anonymous clerical ritual varying outrageous curfew unlock delievieries involuntary costumed aerodynamic sacks newely staircase interviews crowd,strapless bronislaw bleus safari flotation bitting savagely weekday trenchcoat overhead helmeted unclean lumbar couples structure cardiovascular organisms chauffeured glove folk shirt,21,0.4637156,0.2741716
58,where pavilions wicket wi slaving hunched jostle slung vocalizes an efficiently listens an an listens an sunroof container plutonium frontal forger,mammal an bys sibling.s abled lassies an shorthair velveteen skiier contry mans an bold 4300 an 4300 4300 busing 4300 skiboarding,21,1.4175594,0.11351079
59,motorcyle outperform electronic angular oblong angular a togerther herslef aritist information information aflac natgeo a catan aspires a aspires slytherins spherical stunts,armpits barefoot stooping scooper waists frolicked rippled rippled rippled billowed glided downhill a dimples swirl downhill motorcycling surfaced fathered a passport a,22,0.9036672,0.10525894
60,infected increase materials timing consistently greoup format equations circulatory natgeo maker resemblance flammable columned chairlifts intelligent granma ruminants aspires chemicals visually wire,peugeot hortons convene scooper bosh clinks spearfishing romeo rabobank da adele vaulting a % billiard speedboats motorcycling society impersonator a cliffs a,22,0.37138075,0.23944479
61,infected monterrey garment literate nicer boots finely shuffleboard between survey severed stools mjolnor columned roading intelligent gauzey firearms aspires turret intensity damp,fenway simpsons convene scooper bordering clinks rucksack chevelle rabobank seed striker actors a hardened pigtailed wearing captioned calmy impersonator a comedians a,22,0.24706113,0.19028986
62,bacterial artistic environments vehicle spiritual an an an an an an an an an an an furnishings aquatic automotive components pathways an,overgrown strewn egrets toasted anxiously chrysler news beetles sidelines orioles meeting sources chrysler house equitment orioles chrysler salad frankfurter adele sedans oboes,22,0.01976657,0.13351345
63,carefree armored grille drinkers unsuitable inflatable artisits matt sculpts tropical transported billy unlit ships triangular sweatily communications birdwatching duple artists conifers foward,plumes booy granular forensic overgrown buntings lobstermen trolley gorge bandanna green unsold chrysler islanders roundhouse slinkys regimen scholarships dense sweats slicked masked,22,0.5343902,0.38466746
64,molecule packed off- a thy xylophonists storytime wwe anp arid ratatouille amy brah pinstripe curfew unbuttoned cork minister stationary voicemail shirted trusty villa,civilized ballot bail prince garfunkle strasse strasse funereal trims constructio hearding a blaring lampost trims a blaring a xylophonist a a dy a,23,1.5149231,0.24347061
65,molecule frescoed off- concerete telecom entertainment unbuttoned faire acrobatics mastiffs theatre drums keyboard sundresses mwoman chidren jimmy honestly columned kuk index ambient fugitive,armrest depopulated burqa prince dek suspension strasse dire outage constructio pinkham hamock blaring shag trims a sin a xylophonist a allstar dy a,23,0.443752,0.32562113
66,headbutting an for32 dissertation illustration perimeter bulling vegetation feathered emptyhanded goods golf sta gmo job quadrupedal henna gymnasitcs handmade plows qualities cosplaying taiko,sexual bassinets gonzaga ast greeted rapt attennding tearful medically loungers volcanos vaccinating humans administering agirl urgently symmetry glances 12-speed cruella futures servicemen adducted,23,0.84399605,0.35602337
67,eloquent polluting energy highjump livestock turnovers meaningful situation fuel deloreon highjump dementia asle perching occassion disease observation puzzles tutoring postures moonwalk earplugs boding,bridesmaids epee trimmings wetland movies.com fanned unveiled salami grayed putter volcanos sheered married rive shies bravery downhill silverado cd;s petticoat slitting hamoch paino,23,0.36134243,0.4003811
68,morror vollyball hue mullets memeber women- azure vw vuitton brah vuitton brah vuitton airbags airbags a rund abs airbags motorcycling vuitton a motorcycling bleus,telegraph conquered a entertainer tabloids momma limbaugh superstar test hacker a scientist limbaugh marylin skiboarding zeta skiboarding a hnight innings beatle haz garlick prom,24,1.3741972,0.12895131
69,boardgames familiar altitude greatest wrench boods painters borne nasa headbutting pinscher brah writers dasani buill slouches gaseous quarterbacks pomeranian motorcycling blackshirt sonogram thar roughhousing,fiercly warbler ruminants sheperds humid camo # with pillared ethiopian perfson whitecap rappelling gree victorias newscast scoring tenth para tiles hijacks minuteman minivans acrobatic,24,0.74913466,0.4163633
70,1/8 controller preservation grammy signed felicitations chaining levain palette conduction acrobatic arcing jugling bodies cups ram rocketship grounder windows kicks draped paralympic victorian powder,calf warbler ruminants nitrogen cures capoeira unionized condominiums wheezing marhmallows notepad carjacked cosplayer edged cloned railway mildew tenth respiration cools shepards tricker stunk tasting,24,0.5518794,0.45581073
71,mosaic 1/8 triangular an radioactive radioactive highjump temperatures air reentry dres dres ihs alpes an visual an an an canoer graph happiest an jnot,bandannas worn skiing wearing an legs winds clutching mouth gamblers an gamblers petals petals massachussetts rays fruit pelted conical cigarettes drinks stun belts moscato,24,2.2654593,0.09511256
72,gimble slender forest.r exodus facilities distribution chords handhold events reentry interacts shirked with outdoorsman endurance gaseous arming francisico fazed spokesman oils happiest shop/ amorous,kindness islamist studded aerodynamic bobsledder russian casque salwar ladling neuroscience tbc coordinator composers playful strewing rays naturalist organ everclear deal rescuers lave bassinet icehockey,24,0.44926912,0.3477357
73,language slender avai skills lieing kg chords banquet storage coils improves storage customs outdoorsman inhaler feats investigative recording polluting lday oils presthetic draped carbohydrates,somersault roaring gull folic conversations game mp3 blue spinner tamil exodus risking egging bicycles spew thrusts naturalist shirst borat chairman slouches nightwatchman bassinet saws,24,0.30651635,0.3013203
74,- yourselfer wallstreet interments wallstreet interments interments braking vertebrate perching infielder illiterates forester uso janiero wearing officiates professionally janiero a captaining captaining a shirked cassock,twelves murder swiss destination unattended childing declined blue vuitton blue blue vuitton photos ap sale blue % a a a by ..... ounces blue thatch,25,1.3586866,0.06605017
75,- mammal defenceman fiction bodily disabilities contact habitats population barrels hdr human trafficked appropriations emancipation wearing officiates extinct janiero a totaled religions a loitered surface,buque flintstone panted rugby diameter beret goofy earings vuitton coverings patriotic highschoolers pleated hankie machet scroll weight a oiling https://www.youtube.com/watch?v=txrsvc25gh8 lecturer refereed shies atheltic saudi,25,0.15032357,0.35791546
76,axle mammal joao fc bodily assistant bodily habitats equator agnostic hdr human feminist involves projectile wearing officiates extinct species a scariest religions a tightly beings,athletic captain goalkeeper defenseman skee instruments nebula cutest blue fatigues plains stranded pleated rainly perching scroll lanterns a audrey bandanas tray refereed attentively brightly baggy,25,0.12930018,0.10582197
77,wathes pair harrod thur appraoches curtained priceless conforting humility greenbay an an conforting shoplift palette situations dwellings gameplay scenario scenario an circumstances behaviors situations knots,bandage fender blond background samaritan blonde kneeling chaise physique notepad benedictine an an an blond an temps physique equations bon trumpeter bon baritone blues retiring,25,1.3061945,0.064677835
78,treated bang consisting dirtier format escort bandstand huis guitars wooden allah ddr weighted bunny palette duffle keyborad stainless ree parish 1/2 circumstances physiques nlp architectural,woodpecker vents kaiju men collided bouts memoria windbreaker personality dribbles benedictine cubical wheels counseling kuala an r&b sprinkle nattily bespeckled ble anothers dek pucks aroound,25,0.52819425,0.3859133
79,uso bang extensively lou outdrink tlaking kid barbi inhuman tuque yogi lifejacket shirtless banjo bon sanding masturbate treadmill superbike disable fatigues highlighter puck undocked gifted,grapefruit inks property pollution teargas defecate downstream sedge kinda hummer wetland cubical sparkling sheaves sores restrooms orchestral masons au ty cramped coma superstore sweaty moist,25,0.39175224,0.5802361
80,sherpa unconcious landmill swindle moutaineers mobbing tires fahrenheit whisk treaters scurvy jeeves inbounds undocked rickshaw ak-47 quilts smooths furball surplus wering cardboard hsi electronically licks middling,petroleum whitecap ac sprite manatees glo equalization motorized kiteboarding swim brake motherboard gymnast filters baseboard aqua aquafina a filters concentric coasters lint sunblock makeup/ sciences a,26,1.1204536,0.6051066
81,lens in'09 scarf whip natgeo spacious pedals halter macro boba gardener autonomous septic ossian commentates shelters informational pats composers shin hm baggy errands lama chula baselball,changeup marines backswing snowed fumble captioned handset rehearing poolside candles drawers lop rankings filters workings trys deodorant xylophonist moisture frisee allergy oboes yawn makeup/ jumpin gardeners,26,0.51201546,0.788146
82,farenheit administration kakhi spiritual woodcarver unsnarl bedd anouncement escalator outdoor womn spred luggage breasted attire bearded pendant 0 pony muscles facial capable intangible villages ticks synthetic,baserunner undergarment skirt an an tightly crusher collector captioned cap decommissioned an an an an ein an an an housewife cell intently zune alpo commandment brassiere,26,0.26042688,0.23048306
83,goggles relgious astigmatism yoked atheltically gaping duffel staffordshire nappy fishmarket drydock humanoid densely ipod espania seed wrings snowshoers cappedhills muscles amino composer energies angular finely element,longhorn trouser browned stallions an cause hagrid mien cordial safari spatula carding laught oboes saaphone 4300 aerobatic anthropomorphic conscious housewife crippling gushing shoeing alpo commandment frenetically,26,0.23024905,0.31426716
84,thoughtful mortal underdeveloped vehicle ependent amuse occupies highjump interests h2o offsides vessels rammed ducts steets shield leash stripe spiritedly vigilant touchline nueske cloth rook nationality cohesive sphear,seagull minced adhd turnstile reding dorthy lightyear bus airways grandaughter fireplug sufring canoer university wire kneaded athletically ballgown frayed peekaboo longchamp spatula manastary manastary resteraunt bridal emperor,27,0.6451332,0.481605
85,projector boned perching vehicle tu amuse amassed signiture artisan caw trrified buses ontario animated steets sect leash zune kimono stethoscopes springboard nueske cloth nintendo stiff cohesive strenuous,presidential electrocuted don'g courses reding reches - bullet mustache halfpipe conspicuously mee lotto ambulances wire comfortable paranoid elusive frayed woodpeckers badges procession sunhat freight northwestern moisture emperor,27,0.16788793,0.30698854
86,top-40 maritime radar norfolk skee timer presant arsenal apperal pulses jathi multiple frequency fiber fiber fibers fibers intelligent fibers segments nutrients gases an picures an babydoll participates,kneels linebacker lofts molding mat an an jobbing rec greenhouse ht jobbing linebacker an leauge paleontologist foodstand realtors baby.i agent throughwindow an knoxville throughwindow oceanographer cherokee pilates,27,1.2564458,0.093067765
87,epidemic biys external comstumes jsut rouge disabilities transit windowd rundown arabs rodea flickr quad flexible experiences mahogany nonsmoker objects expressive norteno streteched settlement performace outise ceramic plam,sherpa haired worm coouch edm an field bicolor aerobatics lopsided improvised jobbing leaninf feats belted vocal your horsing natgeo currents parakiting jerseys breaded diwali donned necks powerball,27,0.3939889,0.38340098
88,coexist gaps mammals license amplifier outspread rids creatures perching foutain highjump arboretum saxo tattoos returnable overfilled def tuxes objects expressive norteno roller settlement performace exercises mixer plam,winger bahama limbering beardless icehockey sheered hooded redsox graph alibis bas clad attennding music grazing womwn featureing seminar satisfy heavyweight parakiting bun arabians diseases agnostic under-21 fransisco,27,0.159087,0.2542497
89,bbqing a associated a a assembly a a a a a a a a a atempting hammacok a a a a hammacok a a a a were a,bloodied bikeride a a a a a a a upstanding a riwal spoonful collector collector surreal riwal surreal faintly hauntingly a hauntingly possesses beholds panoramic guarneri beac poet,28,0.038276672,0.0678004
90,skin a associated a a esthetically a farmland a secrecy a a a a a atempting octane a a a a feats a groomed a a hips a,corsets fundraising examinations supervised naval lecturer smilely girs deaf upstanding droplets paddleboat lasagna affluent fooball gamecube candlelit unwinding fawkes gumball plastic hooded processor quattro skied guarneri buffalo rotisserie,28,0.039556026,0.083239436
91,protein an an an an an an companion an mitochondrial mitochondrial mitochondrial species an an companion an companion an an an an sport an an an an portrat,fluids talented an infectious gro aged an an weating brewers an minor minor concessions lightly feeder gases feeder utilities heating bushel spectrometer liquids food energy rafting snowmobiling extinguising,28,0.08466098,0.17310643
92,habitation member huddled pew spelunks near hitched crossbar skate hung charred canine species friendliness autonomous bodily grain mass an douses earthquakes observatory disposable tilts an lid activites portrat,kilts punt covent housewife paisley twiddling an snowboards vuvuzela polly stethescopes headers widow tonya oysters steeplechase lovely ! mickelson rinsing xylophone theremin famer tokyo murderer rafting funeral iphone,28,0.42242712,0.037719846
93,insects bulleted chief folic contributing hebrew complexion crossbar skate waxed facilities photojournalist allergen religious embroidered migrate docking sexual pollinating vocalizations irrational oblong spraycans fiercly gleeful lid mute nathalie,soccer punt writhing interior splish smashed rifles seas vuvuzela nutritional rastaman ascent currently khaki barrel porsche gaping brokeback kilts gwan xylophone kerosene coach tonights maria sleeoing bouquets para,28,0.44722533,0.24423552
94,temas watchingt outspread lettering outboard recyclable wonderlessly disabled irrately australasian chemise apartments carpintaria skittle bobsledder cord finders tackles utensils garen rooftops rotating skittle onw relieving related graphics door tramples,le marriot kildare clippings training porsche recived bridal burrows relay baloons rugby crusaders douse 5k busters snorkle disables footballl realtors legaue ben sweatsuits crumbled stripe clapping back venus manned,29,0.6963669,0.577248
95,technique med millimeter vacations pants girding facial managerial mae funy lenscrafters scavenger weightlifters monitoring karate- freeway routines mickey vents girlin quadruple suspected allstar moutain hoodie striker architecturally 2015 mad,gynast shite thin outcrop yellow rigs clop centre countertops sticker propping page arias scrubbing swatted agriculture hooding unbuttoned sense appalachians utility defenceman bopper stint bismarckstrabe handless pupil catch howdah,29,0.43233097,0.4096496
96,skee 55th overfilled seating quad upgrades artisits seating instruction contract minor facilities emptyin manufacturer minor equipment equipment supplier facilities switch supplier manufacturer an apparel hazardous muscles surfaces parsurfing swingline,crewmates meel lipstick velveteen manikin tallest discussig sadness distressed coats golds tearfully an moderately an leapt jumps skied teared ladder sepulcher dejectedly uncoils lunges sloshes an stacking colander gucci,29,0.860298,0.12617016
97,fossil frosts siberian 10:00 geo broil baggy jousts awnings lilac abstract clad ovaries slumped grayed equipment equipment pieces roost switch upper handcuffed powered adventures hamming ego dictionary hoot glances,motorcycle ufc emergency ty forensic tallest counseling festivals pager coats kuala safety an phd an ronaldo handcart trains heat canadian sepulcher vessels humanitarian lunges dome an plowing colander washer,29,0.41526628,0.10494232
98,flaggers lamma urgent curved sherpa hp bearings lynard jib binocular vertical index inder sedge grayed crumpled route pieces roost tubular containing uniforms powered telecommunications horizontal ego finely lifes fixtures,shade attender shirked lynched frowned yello peeked festivals linet coats hooded swooshes lighted equations an 4-wheeler ratatouille trains heavyset woolly corset domes freckled sacs uncoils an ihs colander splashed,29,0.43885714,0.15816748
